Nível;Referência;Descrição;Qtde. orçada;Unidade;Preço total;BDI(%)
1;01;INDIRETOS;;;;
2;1.001;PROJETOS E CONSULTORIAS;;;;
3;1.001.001;Projetos e consultorias;;;;
4;1.001.001.001;Projetos e consultorias global;0;m2;0;0
3;1.001.002;LEED;;;;
4;1.001.002.001;Certificação Leed;1;m2;8.829.512,61;0
2;1.002;SERVIÇOS TÉCNICOS;;;;
3;1.002.001;Serviço topográfico;;;;
4;1.002.001.001;Serviço topográfico;1;vb;0;0
3;1.002.002;Ensaios e Laudos;;;;
4;1.002.002.001;Serviço Topográfico + Ensaios e Laudos;144.739,80;m2;5.262.883,87;0
2;1.003;SERVIÇOS PRELIMINARES E CANTEIRO DE OBRA;;;;
3;1.003.001;Serviços Preliminares;;;;
4;1.003.001.001;Placa de obra;1;vb;2.771,76;0
4;1.003.001.002;Tapume especial, calçada provisória, placa de obra e portões (estimado);127,25;m;520.115,29;0
4;1.003.001.003;Plotagens e impressões;0,25;vb;80.692,44;0
3;1.003.002;Construção de Canteiro de Obras;;;;
4;1.003.002.001;Construções e sinalizações provisórias;1;vb;3.353.775,17;0
4;1.003.002.002;Mobiliário e equipamentos para obra;1;vb;1.437.332,22;0
4;1.003.002.003;Plano logístico de canteiro;144.739,80;m2;228.688,88;0
3;1.003.003;Instalações provisórias hidrossanitárias (Material e M.O.);;;;
4;1.003.003.001;Instalações provisórias hidrossanitárias (Material);1;vb;251.533,14;0
4;1.003.003.002;Sistema de bombeamento provisório;1;un;68.263,20;0
4;1.003.003.003;Sistema para tratamento de efluentes de tinta e argamassa;1;vb;83.598,95;0
3;1.003.004;Instalações Provisórias Elétrica (Material e M.O.);;;;
4;1.003.004.001;Instalações provisórias elétricas;1;vb;337.182,80;0
3;1.003.005;Instalações Provisórias Preventivo (Material e M.O.);;;;
4;1.003.005.001;Instalações provisórias preventivo;1;vb;125.766,57;0
3;1.003.006;Refeitório para funcionários;;;;
4;1.003.006.001;Refeitório para funcionários;4;vb;345.167,20;0
3;1.003.007;Sala do cliente;;;;
4;1.003.007.001;Sala do cliente (incluso EPIs, equipamentos, parte civil e manutenção);2;vb;59.657,64;0
3;1.003.008;Seguro de obra;;;;
4;1.003.008.001;Seguro de obra;144.739,80;m2;1.075.416,71;0
2;1.004;CUSTOS DE OPERAÇÃO;;;;
3;1.004.001;Despesas Faturas Água, Luz, Lixo;;;;
4;1.004.001.001;Despesas com faturas (água, luz, lixo);131;mês;2.579.680,82;0
3;1.004.002;Despesas Administr. De Consumo, Escritório e Limpeza;;;;
4;1.004.002.001;Despesas com material de escritório;131;mês;448.450,99;0
4;1.004.002.002;Material de limpeza, higiene e uso;131;mês;1.345.351,66;0
3;1.004.003;Despesas Administr. Diretas da Obra (M.O.);;;;
4;1.004.003.001;Administração direta (incluso EPIs e ferramentas manuais);1;vb;41.437.398,03;0
4;1.004.003.002;Taxas e ART's;1;vb;3.976,92;0
3;1.004.004;Despesas Administr. De apoio a Obra (M.O.);;;;
4;1.004.004.001;Mão de obra de apoio a produção (incluso EPIs e ferramentas manuais);1;vb;13.056.644,97;0
3;1.004.005;Custos de Vigilância e Portaria;;;;
4;1.004.005.001;Serviço de vigilância eletrônica;131;mês;249.461,99;0
4;1.004.005.002;Serviço de portaria diurna;131;mês;1.446.143,06;0
4;1.004.005.003;Serviço de vigilância noturna;22;mês;328.573,96;0
3;1.004.006;Despesas com Manutenções de tapume e calçada;;;;
4;1.004.006.001;Manutenção de tapume e calçada;131;mês;85.658,62;0
3;1.004.007;Limpeza Diária da Obra;;;;
4;1.004.007.001;Mão de obra para limpeza geral da obra;131;mês;4.193.836,62;0
4;1.004.007.002;Verba para remoção de entulho;131;mês;2.694.355,60;0
3;1.004.008;Equipamentos de Proteção Coletivas;;;;
4;1.004.008.001;Equipamentos de Proteção Coletiva - EPC;1;vb;18.047.467,18;0
2;1.005;EQUIPAMENOS DE OBRA;;;;
3;1.005.001;Elevador de Obra;;;;
4;1.005.001.001;Elevador cremalheira / poço - inclusive manutenção preventiva e corretiva, ascensão, montagem e desmontagem - Compra;2;und;8.342.000,00;0
3;1.005.002;Grua;;;;
4;1.005.002.001;Grua c/ suporte - inclusive manutenção preventiva e corretiva, ascensão, montagem, desmontagem - Estimativa p/ compra;3;un;11.793.300,00;0
4;1.005.002.002;Grua convencional - inclusive manutenção preventiva e corretiva, ascensão, montagem, desmontagem;82;mês;2.494.487,56;0
4;1.005.002.003;Acessórios para grua (corda luminosa, bandeira, logo..);3;und;122.707,98;0
3;1.005.003;Sistemas de suporte para trabalho em altura para fachada;;;;
4;1.005.003.001;Balancim elétrico - inclusive manutenção preventiva e corretiva, montagem, desmontagem;1;vb;400.000,00;0
3;1.005.004;Braço para lançamento de concreto;;;;
4;1.005.004.001;Braço para lançamento de concreto - Tipo de Coluna e Escalada;1;vb;1.105.700,00;0
3;1.005.005;Logística de obra (M.O. e equipamentos);;;;
4;1.005.005.001;Equipamentos para logística de materiais - Bongo, munck e empilhadeira;131;mês;3.764.410,76;0
1;02;INFRAESTRUTURA;;;;
2;2.001;SERVIÇOS EM TERRA;;;;
3;2.001.001;Serviços em terra;;;;
4;2.001.001.001;Serviços em terra - Parametrizado;16.226,85;m3;8.833.408,70;0
2;2.002;FUNDAÇÕES PROFUNDAS - BLOCO CENTRAL;;;;
3;2.002.001;Execução de estacas (M.O, equipamentos e acessórios);;;;
4;2.002.001.001;Taxa de mobilização da hélice contínua;1;vb;24.040,46;0
4;2.002.001.002;Execução de estaca hélice contínua Ø60cm > 32m (M.O. e equipamentos);30.400,00;m;8.630.560,00;0
4;2.002.001.003;Destino resíduo hélice;760;un;554.116,00;0
3;2.002.002;Armação e Espaçadores (Material);;;;
4;2.002.002.001;Armadura 8,0mm estacas (material);1.360.129,00;kg;12.348.203,15;0
4;2.002.002.002;Clipe para amarração de aço;18.240,00;un;66.576,00;0
4;2.002.002.003;Espaçadores estacas;45.600,00;un;78.432,00;0
3;2.002.003;Concreto/argamassa (Material, M.O. e Equipamentos);;;;
